,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,replay_dir_path,replay_url,size,status,match_id
51,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,,D:dota_replay/Virtus.pro/20260207/,http://replay271.valve.net/570/8680514821_1966788360.dem.bz2,62.51672840118408,toDo,8680514821
52,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,,D:dota_replay/Virtus.pro/20260207/,http://replay271.valve.net/570/8680453812_1679199092.dem.bz2,41.009243965148926,toDo,8680453812
53,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,,D:dota_replay/Virtus.pro/20260207/,http://replay274.valve.net/570/8680365982_868647149.dem.bz2,51.757524490356445,toDo,8680365982
54,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,,D:dota_replay/Virtus.pro/20260207/,http://replay272.valve.net/570/8680281936_711531470.dem.bz2,75.69870185852051,toDo,8680281936
55,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,,D:dota_replay/Virtus.pro/20260207/,http://replay274.valve.net/570/8680186040_1142010343.dem.bz2,88.05207920074463,toDo,8680186040
56,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,,D:dota_replay/Virtus.pro/20260206/,http://replay274.valve.net/570/8680071751_1475607847.dem.bz2,106.375,toDo,8680071751
57,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,,D:dota_replay/Virtus.pro/20260206/,http://replay272.valve.net/570/8678847401_1080590296.dem.bz2,84.1430082321167,toDo,8678847401
58,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,,D:dota_replay/Virtus.pro/20260205/,http://replay271.valve.net/570/8678753328_1921262293.dem.bz2,62.23228073120117,toDo,8678753328
59,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,,D:dota_replay/Virtus.pro/20260205/,http://replay273.valve.net/570/8678617868_1022029502.dem.bz2,71.9591236114502,toDo,8678617868
60,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,,D:dota_replay/Virtus.pro/20260205/,http://replay272.valve.net/570/8678554261_137844517.dem.bz2,79.0477647781372,toDo,8678554261
61,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,,D:dota_replay/Virtus.pro/20260205/,http://replay273.valve.net/570/8678450147_435696546.dem.bz2,109.21567058563232,toDo,8678450147
62,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,,D:dota_replay/Virtus.pro/20260204/,http://replay274.valve.net/570/8677261775_2083225200.dem.bz2,53.11518955230713,toDo,8677261775
63,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,,D:dota_replay/Virtus.pro/20260204/,http://replay273.valve.net/570/8677201827_664757867.dem.bz2,33.480112075805664,toDo,8677201827
64,,,,,,,,,,,,,dota_replay/Virtus.pro/20260514/,http://replay273.valve.net/570/8809797141_1434148840.dem.bz2,130.1520185470581,toDo,8809797141
65,,,,,,,,,,,,,dota_replay/Virtus.pro/20260514/,http://replay274.valve.net/570/8809710774_1000818251.dem.bz2,125.84242248535156,toDo,8809710774
66,,,,,,,,,,,,,dota_replay/Virtus.pro/20260513/,http://replay271.valve.net/570/8809425113_54869333.dem.bz2,85.22185516357422,toDo,8809425113
67,,,,,,,,,,,,,dota_replay/Virtus.pro/20260513/,http://replay271.valve.net/570/8809242493_1981386714.dem.bz2,239.84460830688477,toDo,8809242493
68,,,,,,,,,,,,,dota_replay/Virtus.pro/20260513/,http://replay273.valve.net/570/8809158835_1709532280.dem.bz2,150.05204010009766,toDo,8809158835
